RecipeName,Ingredients,Instructions
Cabbage Frittata,"cabbage, mayonnaise, tortilla, coconut milk, sugar","Combine cabbage, mayonnaise, tortilla, coconut milk and sugar. Cook until done. Adjust seasoning to taste. Serve hot."
Chocolate Casserole,"chocolate, ginger, milk, lentils, saffron, pumpkin","Combine chocolate, ginger, milk, lentils, saffron and pumpkin. Cook until done. Adjust seasoning to taste. Serve hot."
Mushrooms Soup,"mushrooms, tortillas",Combine mushrooms and tortillas. Cook until done. Adjust seasoning to taste. Serve hot.
Vegetables Pasta,"vegetables, celery, chickpeas, vinegar, lime","Combine vegetables, celery, chickpeas, vinegar and lime. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Salad,"sugar, olive oil, blueberries, bread, chicken, lime","Combine sugar, olive oil, blueberries, bread, chicken and lime. Cook until done. Adjust seasoning to taste. Serve hot."
Lemons Frittata,"lemons, yogurt, honey, flour","Combine lemons, yogurt, honey and flour. Cook until done. Adjust seasoning to taste. Serve hot."
Flour Casserole,"flour, pasta, mixed vegetables, tomato sauce, salmon","Combine flour, pasta, mixed vegetables, tomato sauce and salmon. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Soup,"chickpeas, cinnamon, balsamic, caesar dressing, dill","Combine chickpeas, cinnamon, balsamic, caesar dressing and dill. Cook until done. Adjust seasoning to taste. Serve hot."
Cream Pasta,"cream, chickpeas",Combine cream and chickpeas. Cook until done. Adjust seasoning to taste. Serve hot.
Broth Casserole,"broth, bell peppers",Combine broth and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot.
Beans Soup,"beans, banana, mustard, salsa, bread, bun","Combine beans, banana, mustard, salsa, bread and bun. Cook until done. Adjust seasoning to taste. Serve hot."
Cheese Soup,"cheese, bread, mussels, lemon, curry powder, eggplant","Combine cheese, bread, mussels, lemon, curry powder and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Delight,"vegetables, caesar dressing, salsa, chickpeas, banana","Combine vegetables, caesar dressing, salsa, chickpeas and banana. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Soup,"lentils, pie crust, peppers, shrimp","Combine lentils, pie crust, peppers and shrimp. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Casserole,"pasta, carrots, shrimp, chocolate, tomato sauce, tomatoes","Combine pasta, carrots, shrimp, chocolate, tomato sauce and tomatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Parsley Stir-Fry,"parsley, salsa, vinegar, water, salt, lemon","Combine parsley, salsa, vinegar, water, salt and lemon. Cook until done. Adjust seasoning to taste. Serve hot."
Shrimp Stir-Fry,"shrimp, curry powder, breadcrumbs, pasta, lemon","Combine shrimp, curry powder, breadcrumbs, pasta and lemon. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Tart,"fish, cheese, lamb, avocado, apples","Combine fish, cheese, lamb, avocado and apples. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Tart,"mayonnaise, ginger, pie crust","Combine mayonnaise, ginger and pie crust. Cook until done. Adjust seasoning to taste. Serve hot."
Pumpkin Soup,"pumpkin, potatoes",Combine pumpkin and potatoes. Cook until done. Adjust seasoning to taste. Serve hot.
Parsley Frittata,"parsley, honey",Combine parsley and honey. Cook until done. Adjust seasoning to taste. Serve hot.
Apples Salad,"apples, soy sauce, mozzarella","Combine apples, soy sauce and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Spinach Pasta,"spinach, parsley, mustard, eggplant, chicken","Combine spinach, parsley, mustard, eggplant and chicken. Cook until done. Adjust seasoning to taste. Serve hot."
Cucumber Salad,"cucumber, fish, bread, parmesan, vegetables","Combine cucumber, fish, bread, parmesan and vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Tortillas Salad,"tortillas, flour, ginger, salt, yogurt, onion","Combine tortillas, flour, ginger, salt, yogurt and onion. Cook until done. Adjust seasoning to taste. Serve hot."
Cinnamon Soup,"cinnamon, carrots",Combine cinnamon and carrots. Cook until done. Adjust seasoning to taste. Serve hot.
Vinegar Frittata,"vinegar, pepper",Combine vinegar and pepper. Cook until done. Adjust seasoning to taste. Serve hot.
Flour Delight,"flour, tuna, pumpkin, cocoa powder, lentils","Combine flour, tuna, pumpkin, cocoa powder and lentils. Cook until done. Adjust seasoning to taste. Serve hot."
Beans Bake,"beans, salt, balsamic","Combine beans, salt and balsamic. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Bake,"ginger, flour",Combine ginger and flour. Cook until done. Adjust seasoning to taste. Serve hot.
Avocado Salad,"avocado, curry powder, breadcrumbs, cheese, rice","Combine avocado, curry powder, breadcrumbs, cheese and rice. Cook until done. Adjust seasoning to taste. Serve hot."
Onions Casserole,"onions, lemon, rice, mozzarella","Combine onions, lemon, rice and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Bake,"lettuce, bread",Combine lettuce and bread. Cook until done. Adjust seasoning to taste. Serve hot.
Flour Skillet,"flour, mustard",Combine flour and mustard. Cook until done. Adjust seasoning to taste. Serve hot.
Pie Crust Skillet,"pie crust, cinnamon, cocoa powder, eggs, mushrooms, avocado","Combine pie crust, cinnamon, cocoa powder, eggs, mushrooms and avocado. Cook until done. Adjust seasoning to taste. Serve hot."
Mussels Delight,"mussels, pasta, eggplant","Combine mussels, pasta and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Pepper Salad,"pepper, broth, salmon","Combine pepper, broth and salmon. Cook until done. Adjust seasoning to taste. Serve hot."
Mussels Delight,"mussels, lemon, lentils, chicken, vegetables","Combine mussels, lemon, lentils, chicken and vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Salmon Stir-Fry,"salmon, cabbage, eggs, potatoes, lamb, coconut milk","Combine salmon, cabbage, eggs, potatoes, lamb and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot."
Croutons Salad,"croutons, butter",Combine croutons and butter. Cook until done. Adjust seasoning to taste. Serve hot.
Lentils Skillet,"lentils, avocado, chickpeas, garlic, tomato","Combine lentils, avocado, chickpeas, garlic and tomato. Cook until done. Adjust seasoning to taste. Serve hot."
Eggplant Frittata,"eggplant, avocado, basil, tomato, pie crust","Combine eggplant, avocado, basil, tomato and pie crust. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Bake,"mozzarella, breadcrumbs, eggplant","Combine mozzarella, breadcrumbs and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Breadcrumbs Delight,"breadcrumbs, tuna, lime, vegetables, beef","Combine breadcrumbs, tuna, lime, vegetables and beef. Cook until done. Adjust seasoning to taste. Serve hot."
Water Bake,"water, cheese, salt, bun","Combine water, cheese, salt and bun. Cook until done. Adjust seasoning to taste. Serve hot."
Curry Powder Casserole,"curry powder, lemons, spinach, water, mayonnaise","Combine curry powder, lemons, spinach, water and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Balsamic Bake,"balsamic, mushrooms, milk","Combine balsamic, mushrooms and milk. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Soup,"basil, pumpkin, pasta, spinach","Combine basil, pumpkin, pasta and spinach. Cook until done. Adjust seasoning to taste. Serve hot."
Pumpkin Stir-Fry,"pumpkin, cocoa powder, strawberries, cinnamon, shrimp, mayonnaise","Combine pumpkin, cocoa powder, strawberries, cinnamon, shrimp and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Garlic Tart,"garlic, tomatoes, soy sauce, chicken, bell peppers","Combine garlic, tomatoes, soy sauce, chicken and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Peas Tart,"peas, honey, fish","Combine peas, honey and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Pepper Pasta,"pepper, apples, vinegar, rosemary","Combine pepper, apples, vinegar and rosemary. Cook until done. Adjust seasoning to taste. Serve hot."
Balsamic Frittata,"balsamic, tuna, mixed vegetables","Combine balsamic, tuna and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Tart,"lentils, bell peppers, zucchini","Combine lentils, bell peppers and zucchini. Cook until done. Adjust seasoning to taste. Serve hot."
Cocoa Powder Frittata,"cocoa powder, salsa, rice, soy sauce, cheese","Combine cocoa powder, salsa, rice, soy sauce and cheese. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Skillet,"lentils, onion, water, butter","Combine lentils, onion, water and butter. Cook until done. Adjust seasoning to taste. Serve hot."
Zucchini Salad,"zucchini, bell peppers, basil, caesar dressing, chocolate, bananas","Combine zucchini, bell peppers, basil, caesar dressing, chocolate and bananas. Cook until done. Adjust seasoning to taste. Serve hot."
Pumpkin Skillet,"pumpkin, cocoa powder",Combine pumpkin and cocoa powder. Cook until done. Adjust seasoning to taste. Serve hot.
Sugar Pasta,"sugar, water",Combine sugar and water. Cook until done. Adjust seasoning to taste. Serve hot.
Salsa Stir-Fry,"salsa, tuna, tomato sauce, eggs, beans","Combine salsa, tuna, tomato sauce, eggs and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Tortilla Salad,"tortilla, blueberries, avocado","Combine tortilla, blueberries and avocado. Cook until done. Adjust seasoning to taste. Serve hot."
Bread Tart,"bread, peppers, vinegar, beef, mixed vegetables","Combine bread, peppers, vinegar, beef and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Delight,"mozzarella, beef, tortillas, flour, salsa","Combine mozzarella, beef, tortillas, flour and salsa. Cook until done. Adjust seasoning to taste. Serve hot."
Lamb Salad,"lamb, blueberries",Combine lamb and blueberries. Cook until done. Adjust seasoning to taste. Serve hot.
Broth Salad,"broth, zucchini, curry powder, salt, mussels, cocoa powder","Combine broth, zucchini, curry powder, salt, mussels and cocoa powder. Cook until done. Adjust seasoning to taste. Serve hot."
Zucchini Tart,"zucchini, eggplant, strawberries, vegetables, chocolate, spinach","Combine zucchini, eggplant, strawberries, vegetables, chocolate and spinach. Cook until done. Adjust seasoning to taste. Serve hot."
Bun Pasta,"bun, vinegar, sugar, milk, pepper","Combine bun, vinegar, sugar, milk and pepper. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Tart,"chickpeas, cinnamon",Combine chickpeas and cinnamon. Cook until done. Adjust seasoning to taste. Serve hot.
Rosemary Frittata,"rosemary, lime, zucchini, chicken, salt","Combine rosemary, lime, zucchini, chicken and salt. Cook until done. Adjust seasoning to taste. Serve hot."
Milk Pasta,"milk, lemons, soy sauce, lentils, mozzarella","Combine milk, lemons, soy sauce, lentils and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Salad,"lentils, tortilla, dill, strawberries, shrimp","Combine lentils, tortilla, dill, strawberries and shrimp. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Delight,"soy sauce, eggs, mixed vegetables, peas, mustard","Combine soy sauce, eggs, mixed vegetables, peas and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Delight,"ginger, tomatoes",Combine ginger and tomatoes. Cook until done. Adjust seasoning to taste. Serve hot.
Carrots Stir-Fry,"carrots, lamb, apples, yogurt, cucumber, croutons","Combine carrots, lamb, apples, yogurt, cucumber and croutons. Cook until done. Adjust seasoning to taste. Serve hot."
Garlic Tart,"garlic, soy sauce",Combine garlic and soy sauce. Cook until done. Adjust seasoning to taste. Serve hot.
Sugar Stir-Fry,"sugar, zucchini, cheese, broth, bananas, pepper","Combine sugar, zucchini, cheese, broth, bananas and pepper. Cook until done. Adjust seasoning to taste. Serve hot."
Carrots Frittata,"carrots, fish, mixed vegetables","Combine carrots, fish and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Curry Powder Skillet,"curry powder, eggs, lamb","Combine curry powder, eggs and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Bake,"olive oil, strawberries, croutons, blueberries, lentils, potatoes","Combine olive oil, strawberries, croutons, blueberries, lentils and potatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Delight,"sugar, broth, tomatoes, water, lamb","Combine sugar, broth, tomatoes, water and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Mushrooms Pasta,"mushrooms, bread, beef, lettuce, mayonnaise, parsley","Combine mushrooms, bread, beef, lettuce, mayonnaise and parsley. Cook until done. Adjust seasoning to taste. Serve hot."
Curry Powder Frittata,"curry powder, yogurt",Combine curry powder and yogurt. Cook until done. Adjust seasoning to taste. Serve hot.
Vinegar Pasta,"vinegar, vegetables",Combine vinegar and vegetables. Cook until done. Adjust seasoning to taste. Serve hot.
Lemon Delight,"lemon, salsa",Combine lemon and salsa. Cook until done. Adjust seasoning to taste. Serve hot.
Shrimp Tart,"shrimp, strawberries, cheese, lentils","Combine shrimp, strawberries, cheese and lentils. Cook until done. Adjust seasoning to taste. Serve hot."
Cheese Casserole,"cheese, beans, mustard","Combine cheese, beans and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Pasta,"sugar, rosemary, breadcrumbs, cucumber, parsley, honey","Combine sugar, rosemary, breadcrumbs, cucumber, parsley and honey. Cook until done. Adjust seasoning to taste. Serve hot."
Caesar Dressing Casserole,"caesar dressing, lime, bread","Combine caesar dressing, lime and bread. Cook until done. Adjust seasoning to taste. Serve hot."
Beans Tart,"beans, soy sauce, olive oil, fish, bread, water","Combine beans, soy sauce, olive oil, fish, bread and water. Cook until done. Adjust seasoning to taste. Serve hot."
Caesar Dressing Casserole,"caesar dressing, carrots, potatoes, spinach, coconut milk","Combine caesar dressing, carrots, potatoes, spinach and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot."
Yogurt Tart,"yogurt, sugar, coconut milk, spinach, tortillas","Combine yogurt, sugar, coconut milk, spinach and tortillas. Cook until done. Adjust seasoning to taste. Serve hot."
Eggplant Pasta,"eggplant, blueberries, flour","Combine eggplant, blueberries and flour. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Pasta,"sugar, breadcrumbs, butter, onion","Combine sugar, breadcrumbs, butter and onion. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Delight,"mayonnaise, cocoa powder, lentils, tomatoes","Combine mayonnaise, cocoa powder, lentils and tomatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Frittata,"chickpeas, mayonnaise, tortillas, pasta","Combine chickpeas, mayonnaise, tortillas and pasta. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Salad,"pasta, basil, curry powder","Combine pasta, basil and curry powder. Cook until done. Adjust seasoning to taste. Serve hot."
Cheese Salad,"cheese, bread, butter, beans","Combine cheese, bread, butter and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Celery Casserole,"celery, ginger, avocado, lime, butter, lemon","Combine celery, ginger, avocado, lime, butter and lemon. Cook until done. Adjust seasoning to taste. Serve hot."
Balsamic Salad,"balsamic, lettuce, cream, salt, croutons","Combine balsamic, lettuce, cream, salt and croutons. Cook until done. Adjust seasoning to taste. Serve hot."
Salmon Delight,"salmon, fish, soy sauce, potatoes, tuna, celery","Combine salmon, fish, soy sauce, potatoes, tuna and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Bake,"tomato, zucchini, salsa, basil, eggs","Combine tomato, zucchini, salsa, basil and eggs. Cook until done. Adjust seasoning to taste. Serve hot."
Ginger Frittata,"ginger, coconut milk",Combine ginger and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot.
Beans Skillet,"beans, peppers, yogurt, avocado","Combine beans, peppers, yogurt and avocado. Cook until done. Adjust seasoning to taste. Serve hot."
Zucchini Soup,"zucchini, flour, mixed vegetables, bun, balsamic","Combine zucchini, flour, mixed vegetables, bun and balsamic. Cook until done. Adjust seasoning to taste. Serve hot."
